index,EDOLLAR,SP500,US10,LEANHOG,JPY,GOLD,WHEAT,NIKKEI,COPPER,BITCOIN
23/03/1984,71.84001,464.55,-33.0703025,-5.24,0.0121265,1145.9,857.5,,,
26/03/1984,71.91001,464.65,-32.9140525,-5.36,0.0121395,1147.6,860.5,,,
27/03/1984,71.89001,465.45,-32.9765525,-4.79,0.0121405,1146.4,859.75,,,
28/03/1984,71.89001,467.7,-32.6328025,-4.44,0.0121535,1149.4,857.5,,,
29/03/1984,71.86001,466.4,-32.4453025,-4.56,0.0121475,1148.9,858.25,,,
30/03/1984,71.75001,466.65,-33.0078025,-5.24,0.0121445,1146.5,865.5,,,
02/04/1984,71.70001,465.6,-33.0390525,-3.74,0.0121335,1137.9,865,,,
03/04/1984,71.54001,465.75,-33.3515525,-3.26,0.0121265,1139.7,867.5,,,
04/04/1984,71.56001,465.2,-33.4453025,-3.86,0.0121325,1140.4,868,,,
05/04/1984,71.50001,462.05,-33.2578025,-4.01,0.0121185,1137.6,862.5,,,
06/04/1984,71.55001,463.05,-32.6953025,-4.04,0.0121215,1139.3,860.25,,,
09/04/1984,71.55001,463.2,-32.5703025,-3.99,0.0121225,1140.2,865,,,
10/04/1984,71.53001,463.4,-32.7578025,-4.59,0.0121285,1140.1,866.25,,,
11/04/1984,71.57001,461.95,-32.6640525,-4.44,0.0121715,1140.9,863,,,
12/04/1984,71.64001,465.3,-32.3515525,-5.06,0.0121395,1136.9,863.25,,,
13/04/1984,71.51001,464.4,-33.0078025,-4.71,0.0121285,1139.2,864.25,,,
16/04/1984,71.44001,466,-33.1953025,-4.64,0.0121175,1136.7,862.75,,,
17/04/1984,71.52001,465.9,-33.0078025,-4.91,0.0121345,1137.8,860.5,,,
18/04/1984,71.42001,464.7,-33.6328025,-5.21,0.0121325,1144.2,863.75,,,
19/04/1984,71.28001,464.8,-33.9140525,-5.21,0.0121195,1141,866,,,
20/04/1984,71.28001,464.8,-33.9140525,-5.21,0.0121195,1141,866,,,
